numenq,sch_lev,farm_f,trad_f,exec_f,tech_f,whc_f,blc_f,noocc_f,farm_m,trad_m,exec_m,tech_m,whc_m,blc_m,noocc_m,orfr,oroecd,orother,foreign,late6,urban,male,age98,date_first,full_first,wage_first,employed_36,full_36,wage_36,experience_36,employed_60,full_60,wage_60,experience_60
a05652,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,22,28,1,854,1,1,945,8,1,1,945,32
315489,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,20,10,1,810,1,1,1208,26,1,1,1208,50
316066,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,23,7,,457,1,1,457,29,1,1,457,53
206054,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,21,9,1,930,1,1,1202,27,1,1,1202,51
307047,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,23,11,1,915,1,1,945,25,1,1,945,49
c05377,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,20,25,1,888,1,1,1415,11,1,1,1415,35
213950,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,21,7,1,963,1,1,787,19,1,1,787,43
213171,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,20,9,1,1105,1,1,1525,27,1,1,1525,51
305841,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,22,9,1,1296,1,1,1296,27,1,1,1083,49
d00987,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,23,10,1,957,1,1,1300,26,1,1,1300,50
c08350,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,20,12,1,1067,1,1,915,24,1,1,2478,47
218366,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,19,7,0,975,1,1,975,29,1,1,975,53
215076,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,20,7,1,1021,1,1,1220,29,1,1,1296,53
301660,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,20,10,1,808,1,1,1436,23,1,1,1354,47
c15816,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,20,7,1,838,1,1,1100,29,1,1,1100,53
206576,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,20,21,0,1156,1,1,1156,15,1,1,1156,39
306806,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,23,21,1,854,1,1,1020,13,1,1,1020,37
221317,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,21,9,1,810,1,1,953,27,1,1,953,51
222673,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,22,7,1,1068,1,1,1143,29,1,1,1143,53
203039,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,20,19,1,899,1,1,899,17,1,1,899,41
c08299,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,20,9,1,810,1,1,1390,27,1,1,1390,51
204547,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,19,8,1,1378,1,1,1110,28,1,1,1110,52
317243,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,21,18,1,871,1,0,871,18,1,0,871,42
b18180,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,21,11,1,1174,1,1,1417,16,1,1,1417,40
c16145,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,20,7,1,915,1,1,1296,29,1,1,1296,53
308775,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,22,7,1,1129,1,1,1313,29,1,1,1313,53
a01616,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,20,7,1,838,1,1,1174,29,1,1,960,53
b06820,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,25,12,1,810,1,1,976,24,1,1,976,48
201353,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,20,9,1,1067,1,1,2211,26,1,1,1982,50
316690,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,19,7,1,854,1,1,1200,29,1,1,1200,53
b04091,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,21,14,1,1098,1,1,1467,22,1,1,1467,46
b06846,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,20,7,1,1296,1,1,1500,22,1,1,1500,46
517599,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,26,2,1,1308,1,1,1325,34,1,1,1325,58
301944,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,20,11,1,960,1,1,939,25,1,1,939,49
b12398,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,23,10,1,872,1,0,872,26,1,0,872,50
a00037,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,24,7,1,1505,1,1,1467,29,1,1,1467,53
a02910,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,21,10,1,610,1,1,787,14,1,1,787,38
313419,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,21,24,1,899,1,1,1082,12,1,1,1082,36
d01020,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,21,6,1,1113,1,1,1220,30,1,1,1200,54
215479,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,20,7,1,1372,1,1,1582,29,1,1,1582,53
a02654,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,22,7,1,1012,1,1,1569,29,1,1,1569,53
c15006,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,21,7,1,884,1,1,1220,27,1,1,991,51
220502,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,22,7,1,810,1,1,1597,18,1,1,1597,42
